county_fips,year,population,youth_population,median_income,poverty_rate,pct_bachelors,pop_density
51051,2022,14089,2724,40143.0,22.473394495412844,11.4269197417863,42.63708994068515
51053,2022,28057,5713,77225.0,11.048792111147769,17.85306810853713,55.68124536105389
51057,2022,10602,1849,52335.0,17.11265593752976,15.317769130998704,41.19617336431531
51059,2022,1145354,264938,145165.0,5.982567109052927,64.10497570101579,2929.144289294665
51061,2022,73290,16946,122785.0,5.822590167085409,39.42649482693568,113.1028991009176
51063,2022,15532,2809,57146.0,9.426495393797845,23.198699298305662,40.774644744475914
51065,2022,27442,5425,90766.0,6.0555512452478855,35.790513833992094,95.57776098245662
51067,2022,54838,10259,66275.0,13.25233222991273,23.845710129661676,79.40516355106355
51069,2022,92007,20911,92443.0,6.76993943151997,29.090965848785665,222.70444285766155
51071,2022,16711,3362,61987.0,9.6569250317662,19.254863171777117,46.78004059066414
51073,2022,38875,7752,83750.0,7.455726710677984,25.498726655348047,178.48124512189523
51075,2022,24906,4226,105600.0,4.2260010051935,44.436780389451904,88.31006740441586
51077,2022,15356,2499,43348.0,18.685121107266436,14.104851729118872,34.75898910103331
51079,2022,20631,4820,81338.0,11.117088917147608,27.88878021517396,132.29494635998128
51081,2022,11373,1850,51823.0,12.934614928206953,13.42780810779417,38.52289932831347
51083,2022,34013,6838,49145.0,14.698598695337036,17.085243640199618,41.594362938423515
51085,2022,110513,23921,104678.0,5.18311521825342,41.84199924625401,236.35453715248744
51087,2022,333120,74210,82424.0,8.41811060857756,45.38530927835052,1425.4233009127124
51089,2022,50760,9824,43694.0,16.129356030191104,14.395419152864367,132.7575970770313
51091,2022,2247,288,57070.0,10.254123941150246,30.65268065268065,5.412332023807516
51093,2022,38898,8199,91680.0,9.762348555452004,29.7823514647352,123.2177645437699
51095,2022,78818,15456,100711.0,7.280121100164203,50.01652030258238,553.8939408846225
51097,2022,6681,1226,70147.0,19.937040923399792,22.56390543916971,21.200707007561938
